humanID,time,event,location
103,21.381651462953,takeTrip,6
123,21.7342623090583,takeTrip,3
901,21.0825503459639,takeTrip,3
916,21.4226638555729,takeTrip,3
594,22.6037938684833,returnHome,2
294,22.3742668283082,returnHome,1
916,22.4769742305666,returnHome,2
478,22.715950719116,returnHome,1
495,22.7866980225548,returnHome,1
552,23.714841966704,returnHome,2
593,23.4414769840952,takeTrip,6
113,23.6343335917297,takeTrip,3
123,23.0041963539035,returnHome,1
229,23.8966929046427,takeTrip,6
239,23.8989835504751,takeTrip,3
134,24.7734873313595,takeTrip,3
134,24.9260922726382,returnHome,1
681,24.9550398400243,takeTrip,3
88,24.4580717293902,takeTrip,6
126,25.4515848112885,takeTrip,3
152,25.408654099169,takeTrip,3
229,25.9601044757282,returnHome,1
570,26.5834997473255,takeTrip,3
113,26.776245250062,returnHome,1
239,26.7998816465007,returnHome,1
769,26.0642075020413,takeTrip,4
126,27.7215014560349,returnHome,1
190,27.0295891709901,takeTrip,3
190,27.9719762298553,returnHome,1
681,27.2472709302651,returnHome,2
769,27.3159731047753,returnHome,2
376,27.9943260837513,takeTrip,3
103,28.3646763075515,returnHome,1
324,28.8312957843233,takeTrip,3
376,28.0312690733168,returnHome,1
152,29.1816589140254,returnHome,1
372,29.450960499344,takeTrip,6
671,30.477230750216,takeTrip,3
832,30.631091977891,takeTrip,3
145,31.5969511171271,takeTrip,4
145,31.9713466770444,returnHome,1
671,31.2093143237931,returnHome,2
832,31.8568036458013,returnHome,2
901,31.1059810132774,returnHome,2
487,31.1985272095738,takeTrip,6
529,32.3494048522357,takeTrip,4
593,32.6039112486086,returnHome,2
88,32.57612049564,returnHome,1
898,32.8679521933711,takeTrip,4
487,32.2161387257477,returnHome,1
570,33.1362927401004,returnHome,2
642,33.1161023352827,takeTrip,3
642,33.4256796086622,returnHome,2
25,33.303963445442,takeTrip,4
25,33.9902363902314,returnHome,1
585,34.888238346422,takeTrip,6
744,34.1387127681563,takeTrip,6
306,34.0853345825028,takeTrip,5
372,34.5485269789714,returnHome,1
842,34.165066982971,takeTrip,6
574,35.6658810328714,takeTrip,3
306,35.2852615795143,returnHome,1
311,35.4693993163584,takeTrip,6
311,35.6372748510069,returnHome,1
324,35.2268596154981,returnHome,1
842,35.2722037908412,returnHome,2
648,36.7213351516897,takeTrip,5
730,36.4413213209296,takeTrip,6
744,36.3306191354384,returnHome,2
749,36.5473616130289,takeTrip,6
823,36.9492665556921,takeTrip,6
854,36.8803038089572,takeTrip,3
970,36.0702852383648,takeTrip,3
970,36.8949200204034,returnHome,2
529,37.4508557814801,returnHome,2
585,37.9027722255313,returnHome,2
605,37.6795334027328,takeTrip,6
648,37.3435297077805,returnHome,2
823,37.4808648940837,returnHome,2
41,37.0454837320344,takeTrip,6
531,38.7942609793739,takeTrip,3
605,39.4874380126775,returnHome,2
686,39.7927061131451,takeTrip,8
201,39.757883206644,takeTrip,3
311,39.7455456920099,takeTrip,3
356,39.0053869103074,takeTrip,3
356,39.5297272249558,returnHome,1
531,40.3598766044946,returnHome,2
219,40.8634867649332,takeTrip,6
386,40.0935201615159,takeTrip,3
854,40.1325453517095,returnHome,2
898,40.3843601540188,returnHome,2
440,40.3538315144037,takeTrip,3
41,41.5055107149541,returnHome,1
574,42.3798561435159,returnHome,2
311,42.781304589546,returnHome,1
692,43.9311805655077,takeTrip,3
327,43.2664893919318,takeTrip,6
828,43.1033295487473,takeTrip,3
440,43.4850875498067,returnHome,1
226,44.3967087316528,takeTrip,3
327,44.5502525970987,returnHome,1
828,44.311104613978,returnHome,2
91,44.6663746591015,takeTrip,3
692,45.6966245829887,returnHome,2
201,45.357449433217,returnHome,1
730,45.4670780381406,returnHome,2
749,45.4253302773426,returnHome,2
91,45.2592114684461,returnHome,1
686,46.7339216707446,returnHome,2
219,46.0591683217404,returnHome,1
386,47.3269122652901,returnHome,1
226,48.9893506773291,returnHome,1
759,48.1933787969737,takeTrip,3
125,49.7912569073739,takeTrip,4
125,50.1249090871414,returnHome,1
392,50.3871199494826,takeTrip,4
70,50.8070835902485,takeTrip,6
439,50.1403728464645,takeTrip,3
439,50.2535551521593,returnHome,1
732,51.0119188865632,takeTrip,6
732,51.8909688760965,returnHome,2
70,51.7619934136177,returnHome,1
417,51.3676333067407,takeTrip,3
211,52.2836288467273,takeTrip,3
759,52.7274854983341,returnHome,2
319,52.2815574065693,takeTrip,4
51,52.2214576264324,takeTrip,3
485,52.3517363705434,takeTrip,3
626,53.7648516948927,takeTrip,3
644,53.4865914206845,takeTrip,4
710,53.6660021429812,takeTrip,3
710,53.696501244132,returnHome,2
417,53.6500354846555,returnHome,1
