time,patchID,bWeightHuman,bWeightZoo,bWeightZootox,kappa
118,2,493,0,0,6.57735420616476e-75
118,3,3,0,0,0
118,4,0,0,0,0
118,5,0,0,0,0
118,6,1,0,0,0
118,7,0,0,0,0
118,8,1,0,0,0
118,9,0,0,0,0
119,1,498,0,0,6.91365395557297e-78
119,2,493,0,0,1.33414892619975e-77
119,3,3,0,0,0
119,4,0,0,0,0
119,5,0,0,0,0
119,6,1,0,0,0
119,7,0,0,0,0
119,8,0,0,0,0
119,9,0,0,0,0
120,1,495,0,0,1.39669776880262e-80
120,2,495,0,0,2.69525035595909e-80
120,3,3,0,0,0
120,4,0,0,0,0
120,5,0,0,0,0
120,6,2,0,0,0
120,7,0,0,0,0
120,8,0,0,0,0
120,9,0,0,0,0
121,1,493,0,0,2.83305835456921e-83
121,2,493,0,0,5.4670392615803e-83
121,3,5,0,0,0
121,4,0,0,0,0
121,5,0,0,0,0
121,6,4,0,0,0
121,7,0,0,0,0
121,8,0,0,0,0
121,9,0,0,0,0
122,1,494,0,0,5.7349359404235e-86
122,2,493,0,0,0.000304259634888438
122,3,5,0,0,0
122,4,0,0,0,0
122,5,0,0,0,0
122,6,3,0,0,0
122,7,0,0,0,0
122,8,0,0,0,0
122,9,0,0,0,0
123,1,492,0,0,1.16563738626494e-88
123,2,494,0,0,0.000304259634888438
123,3,6,0,0,0
123,4,0,0,0,0
123,5,0,0,0,0
123,6,3,0,0,0
123,7,0,0,0,0
123,8,0,0,0,0
123,9,0,0,0,0
124,1,493,0,0,2.36437603704856e-91
124,2,492,0,0,0.000305496462672537
124,3,5,0,0,0
124,4,0,0,0,0
124,5,0,0,0,0
124,6,3,0,0,0
124,7,0,0,0,0
124,8,2,0,0,0
124,9,0,0,0,0
125,1,493,0,0,4.79589459847578e-94
125,2,493,0,0,0.000304879303169721
125,3,5,0,0,0
125,4,0,0,0,0
125,5,0,0,0,0
125,6,3,0,0,0
125,7,0,0,0,0
125,8,1,0,0,0
125,9,0,0,0,0
126,1,493,0,0,9.72798092997115e-97
126,2,492,0,0,0.000305497722160914
126,3,6,0,0,0
126,4,0,0,0,0
126,5,0,0,0,0
126,6,3,0,0,0
126,7,0,0,0,0
126,8,1,0,0,0
126,9,0,0,0,0
127,1,494,0,0,1.96922690890104e-99
127,2,488,0,0,0.000308003069102789
127,3,5,0,0,0
127,4,0,0,0,0
127,5,1,0,0,0
127,6,5,0,0,0
127,7,0,0,0,0
127,8,1,0,0,0
127,9,1,0,0,0
128,1,495,0,0,3.97823617959806e-102
128,2,490,0,0,0.00061287347565123
128,3,3,0,0,0
128,4,0,0,0,0
128,5,0,0,0,0
128,6,6,0,0,0
128,7,0,0,0,0
128,8,1,0,0,0
128,9,0,0,0,0
129,1,498,0,0,7.98842606344993e-105
129,2,492,0,0,0.000611001775357015
129,3,0,0,0,0
129,4,0,0,0,0
129,5,0,0,0,0
129,6,4,0,0,0
129,7,0,0,0,0
129,8,1,0,0,0
129,9,0,0,0,0
130,1,497,0,0,1.60732918781689e-107
130,2,491,0,0,0.000612242366141257
130,3,2,0,0,0
130,4,0,0,0,0
130,5,1,0,0,0
130,6,4,0,0,0
130,7,0,0,0,0
130,8,0,0,0,0
130,9,0,0,0,0
131,1,497,0,0,3.23406275214665e-110
131,2,493,0,0,0.000609761140702112
131,3,1,0,0,0
131,4,0,0,0,0
131,5,0,0,0,0
131,6,4,0,0,0
131,7,0,0,0,0
131,8,0,0,0,0
131,9,0,0,0,0
132,1,495,0,0,6.53346010534678e-113
132,2,492,0,0,0.000915873498253459
132,3,3,0,0,0
132,4,1,0,0,0
132,5,0,0,0,0
132,6,4,0,0,0
132,7,0,0,0,0
132,8,0,0,0,0
132,9,0,0,0,0
133,1,494,0,0,1.3225627743617e-115
133,2,492,0,0,0.000611617629061491
133,3,3,0,0,0
133,4,1,0,0,0
133,5,0,0,0,0
133,6,5,0,0,0
133,7,0,0,0,0
133,8,0,0,0,0
133,9,0,0,0,0
134,1,492,0,0,2.68813572024735e-118
134,2,494,0,0,0.000608525541759234
134,3,3,0,0,0
134,4,1,0,0,0
134,5,0,0,0,0
134,6,5,0,0,0
134,7,0,0,0,0
134,8,0,0,0,0
134,9,0,0,0,0
135,1,491,0,0,5.47481816750987e-121
135,2,495,0,0,0.000607289950589413
135,3,2,0,0,0
135,4,1,0,0,0
135,5,0,0,0,0
135,6,6,0,0,0
135,7,0,0,0,0
135,8,0,0,0,0
135,9,0,0,0,0
136,1,495,0,0,1.10602387222422e-123
136,2,494,0,0,0.000608516781276497
136,3,2,0,0,0
136,4,2,0,0,0
136,5,0,0,0,0
136,6,2,0,0,0
136,7,0,0,0,0
136,8,0,0,0,0
136,9,0,0,0,0
137,1,496,0,0,2.22988683916173e-126
137,2,494,0,0,0.000608519264739426
137,3,2,0,0,0
137,4,1,0,0,0
137,5,0,0,0,0
137,6,2,0,0,0
137,7,0,0,0,0
137,8,0,0,0,0
137,9,0,0,0,0
138,1,495,0,0,4.50482189729642e-129
138,2,493,0,0,0.000609753588772291
138,3,5,0,0,0
138,4,1,0,0,0
138,5,0,0,0,0
138,6,1,0,0,0
138,7,0,0,0,0
138,8,0,0,0,0
138,9,0,0,0,0
139,1,497,0,0,9.06402796236704e-132
139,2,494,0,0,0.000608521768398324
139,3,2,0,0,0
139,4,1,0,0,0
139,5,0,0,0,0
139,6,1,0,0,0
139,7,0,0,0,0
139,8,0,0,0,0
139,9,0,0,0,0
140,1,496,0,0,1.82742499241271e-134
140,2,490,0,0,0.00061348677911918
140,3,3,0,0,0
140,4,4,0,0,0
140,5,0,0,0,0
140,6,2,0,0,0
140,7,0,0,0,0
140,8,0,0,0,0
140,9,0,0,0,0
141,1,498,0,0,3.66952809721428e-137
141,2,490,0,0,0.000613496911794121
141,3,3,0,0,0
141,4,3,0,0,0
141,5,0,0,0,0
141,6,1,0,0,0
141,7,0,0,0,0
141,8,0,0,0,0
141,9,0,0,0,0
142,1,497,0,0,7.38335633242309e-140
142,2,493,0,0,0.000609763685419461
142,3,2,0,0,0
142,4,2,0,0,0
142,5,0,0,0,0
142,6,1,0,0,0
142,7,0,0,0,0
142,8,0,0,0,0
142,9,0,0,0,0
143,1,495,0,0,1.49158713786325e-142
143,2,493,0,0,0.000609756112952169
143,3,3,0,0,0
143,4,2,0,0,0
143,5,0,0,0,0
143,6,2,0,0,0
143,7,0,0,0,0
143,8,0,0,0,0
143,9,0,0,0,0
144,1,496,0,0,3.00723213278881e-145
144,2,496,0,0,0.000606068056679339
144,3,1,0,0,0
144,4,0,0,0,0
144,5,0,0,0,0
144,6,2,0,0,0
144,7,0,0,0,0
144,8,0,0,0,0
144,9,0,0,0,0
145,1,496,0,0,6.06296800965486e-148
145,2,494,0,0,0.000608514307807043
145,3,2,0,0,0
145,4,0,0,0,0
145,5,1,0,0,0
145,6,2,0,0,0
145,7,0,0,0,0
145,8,0,0,0,0
145,9,0,0,0,0
146,1,495,0,0,1.2248420221525e-150
146,2,492,0,0,0.00061099291525977
146,3,3,0,0,0
146,4,0,0,0,0
146,5,2,0,0,0
146,6,3,0,0,0
146,7,0,0,0,0
146,8,0,0,0,0
146,9,0,0,0,0
147,1,496,0,0,2.46943956079133e-153
147,2,493,0,0,0.000609758606318985
147,3,2,0,0,0
147,4,0,0,0,0
147,5,2,0,0,0
147,6,2,0,0,0
147,7,0,0,0,0
147,8,0,0,0,0
147,9,0,0,0,0
148,1,498,0,0,4.95871397749262e-156
148,2,493,0,0,0.000609756102649734
148,3,2,0,0,0
148,4,0,0,0,0
148,5,2,0,0,0
148,6,0,0,0,0
148,7,0,0,0,0
148,8,0,0,0,0
148,9,0,0,0,0
149,1,496,0,0,0.00030241935483871
149,2,493,0,0,0.000914015732459736
149,3,2,0,0,0
149,4,0,0,0,0
149,5,2,0,0,0
149,6,2,0,0,0
149,7,0,0,0,0
149,8,0,0,0,0
149,9,0,0,0,0
150,1,496,0,0,0.000303029071279917
150,2,494,0,0,0.000912781408365303
150,3,2,0,0,0
150,4,0,0,0,0
150,5,1,0,0,0
150,6,2,0,0,0
150,7,0,0,0,0
150,8,0,0,0,0
150,9,0,0,0,0
151,1,497,0,0,0.000302420581632354
151,2,495,0,0,0.000910934911936092
151,3,1,0,0,0
151,4,0,0,0,0
151,5,0,0,0,0
151,6,2,0,0,0
151,7,0,0,0,0
151,8,0,0,0,0
151,9,0,0,0,0
152,1,497,0,0,0.000302419357307107
152,2,494,0,0,0.00091277517188651
152,3,2,0,0,0
152,4,0,0,0,0
152,5,0,0,0,0
152,6,2,0,0,0
152,7,0,0,0,0
152,8,0,0,0,0
152,9,0,0,0,0
153,1,497,0,0,0.000302419354843676
153,2,493,0,0,0.000914630375602204
153,3,3,0,0,0
153,4,0,0,0,0
153,5,0,0,0,0
153,6,2,0,0,0
153,7,0,0,0,0
153,8,0,0,0,0
153,9,0,0,0,0
154,1,496,0,0,0.000303029071279927
154,2,493,0,0,0.000914634138692905
154,3,4,0,0,0
154,4,0,0,0,0
154,5,0,0,0,0
154,6,2,0,0,0
154,7,0,0,0,0
154,8,0,0,0,0
154,9,0,0,0,0
155,1,496,0,0,0.000303030300546935
155,2,494,0,0,0.000912782660199783
155,3,3,0,0,0
155,4,0,0,0,0
155,5,0,0,0,0
155,6,2,0,0,0
155,7,0,0,0,0
155,8,0,0,0,0
155,9,0,0,0,0
156,1,495,0,0,0.00030364248545565
156,2,494,0,0,0.000912778912267611
156,3,4,0,0,0
156,4,0,0,0,0
156,5,1,0,0,0
156,6,1,0,0,0
156,7,0,0,0,0
156,8,0,0,0,0
156,9,0,0,0,0
157,1,495,0,0,0.00030364372219284
157,2,493,0,0,0.000914630383189184
157,3,4,0,0,0
157,4,1,0,0,0
157,5,1,0,0,0
157,6,1,0,0,0
157,7,0,0,0,0
157,8,0,0,0,0
157,9,0,0,0,0
158,1,497,0,0,0.000302421818354513
158,2,492,0,0,0.000916493151185344
158,3,3,0,0,0
158,4,1,0,0,0
158,5,1,0,0,0
158,6,1,0,0,0
158,7,0,0,0,0
158,8,0,0,0,0
158,9,0,0,0,0
