time,state,patch1,patch2,patch3,patch4,patch5,patch6,patch7,patch8,patch9
230,Z,0.047921697869469,0.167051733975096,3.79447310949438e-11,9.90614148526747e-11,5.2050385589772e-11,3.79447310949438e-11,9.90614148526747e-11,5.2050385589772e-11,3.79447310949438e-11
231,M,191.343565855879,189.428189975814,0,0,0,0,0,0,0
231,Y,0.157571091850663,0.490576233355618,0,0,0,0,0,0,0
231,Z,0.0482960632699234,0.165742976255175,3.41502579854494e-11,8.91552733674073e-11,4.68453470307948e-11,3.41502579854494e-11,8.91552733674073e-11,4.68453470307948e-11,3.41502579854494e-11
232,M,183.909209270291,183.985370978233,0,0,0,0,0,0,0
232,Y,0.157002732195758,0.486845175066871,0,0,0,0,0,0,0
232,Z,0.0486540315362385,0.164511612887799,3.07352321869045e-11,8.02397460306666e-11,4.21608123277153e-11,3.07352321869045e-11,8.02397460306666e-11,4.21608123277153e-11,3.07352321869045e-11
233,M,181.718288343262,187.186833880409,0,0,0,0,0,0,0
233,Y,0.156279848480338,0.484185114643796,0,0,0,0,0,0,0
233,Z,0.0488107858904147,0.162979422928578,2.7661708968214e-11,7.22157714275999e-11,3.79447310949438e-11,2.7661708968214e-11,7.22157714275999e-11,3.79447310949438e-11,2.7661708968214e-11
234,M,180.646459508936,190.068150492368,0,0,0,0,0,0,0
234,Y,0.155480556431762,0.482691541784947,0,0,0,0,0,0,0
234,Z,0.0488864899341655,0.161427737895013,2.48955380713926e-11,6.49941942848399e-11,3.41502579854494e-11,2.48955380713926e-11,6.49941942848399e-11,3.41502579854494e-11,2.48955380713926e-11
235,M,179.681813558042,194.461335443132,0,0,0,0,0,0,0
235,Y,0.154622411450477,0.48253294221029,0,0,0,0,0,0,0
235,Z,0.0489649090322538,0.160054733117977,2.24059842642533e-11,5.84947748563559e-11,3.07352321869045e-11,2.24059842642533e-11,5.84947748563559e-11,3.07352321869045e-11,2.24059842642533e-11
236,M,187.813632202238,193.015201898818,0,0,0,0,0,0,0
236,Y,0.154515354634492,0.481838134932209,0,0,0,0,0,0,0
236,Z,0.0490316940603025,0.158658543135987,2.0165385837828e-11,5.26452973707203e-11,2.7661708968214e-11,2.0165385837828e-11,5.26452973707203e-11,2.7661708968214e-11,2.0165385837828e-11
237,M,186.132268982014,193.513681708937,0,0,0,0,0,0,0
237,Y,0.154250826082962,0.481335670465693,0,0,0,0,0,0,0
237,Z,0.048987168102509,0.158052556210045,1.81488472540452e-11,4.73807676336483e-11,2.48955380713926e-11,1.81488472540452e-11,4.73807676336483e-11,2.48955380713926e-11,1.81488472540452e-11
238,M,189.119042083813,199.362313538043,0,0,0,0,0,0,0
238,Y,0.154225602247327,0.482327890086053,0,0,0,0,0,0,0
238,Z,0.0491296505784726,0.157602408910388,1.63339625286407e-11,4.26426908702835e-11,2.24059842642533e-11,1.63339625286407e-11,4.26426908702835e-11,2.24059842642533e-11,1.63339625286407e-11
239,M,188.207137875431,204.626082184239,0,0,0,0,0,0,0
239,Y,0.154221411943751,0.484623052075071,0,0,0,0,0,0,0
239,Z,0.049281122659623,0.156608869043057,1.47005662757766e-11,3.83784217832551e-11,2.0165385837828e-11,1.47005662757766e-11,3.83784217832551e-11,2.0165385837828e-11,1.47005662757766e-11
240,M,189.186424087888,205.763473965815,0,0,0,0,0,0,0
240,Y,0.154298114102824,0.487073328226284,0,0,0,0,0,0,0
240,Z,0.0494767296882506,0.155492660340976,1.3230509648199e-11,3.45405796049296e-11,1.81488472540452e-11,1.3230509648199e-11,3.45405796049296e-11,1.81488472540452e-11,1.3230509648199e-11
241,M,187.367781679099,204.987126569233,0,0,0,0,0,0,0
241,Y,0.154187094487332,0.488777724032407,0,0,0,0,0,0,0
241,Z,0.0494648668038589,0.154747484936846,1.19074586833791e-11,3.10865216444367e-11,1.63339625286407e-11,1.19074586833791e-11,3.10865216444367e-11,1.63339625286407e-11,1.19074586833791e-11
242,M,190.231003511189,207.88841391231,0,0,0,0,0,0,0
242,Y,0.154321386222348,0.491025702294767,0,0,0,0,0,0,0
242,Z,0.0494474782231909,0.153948020151737,1.07167128150412e-11,2.7977869479993e-11,1.47005662757766e-11,1.07167128150412e-11,2.7977869479993e-11,1.47005662757766e-11,1.07167128150412e-11
243,M,189.207903160071,205.999572521079,0,0,0,0,0,0,0
243,Y,0.154358530556845,0.492685635406609,0,0,0,0,0,0,0
243,Z,0.0492691209447934,0.152777174532617,9.64504153353705e-12,2.51800825319937e-11,1.3230509648199e-11,9.64504153353705e-12,2.51800825319937e-11,1.3230509648199e-11,9.64504153353705e-12
244,M,191.887112844063,204.299615268971,0,0,0,0,0,0,0
244,Y,0.154642859703246,0.493964669443487,0,0,0,0,0,0,0
244,Z,0.0490422723784855,0.151942419391482,8.68053738018334e-12,2.26620742787943e-11,1.19074586833791e-11,8.68053738018334e-12,2.26620742787943e-11,1.19074586833791e-11,8.68053738018334e-12
245,M,189.798401559657,211.769653742074,0,0,0,0,0,0,0
245,Y,0.154664987117934,0.496861693260309,0,0,0,0,0,0,0
245,Z,0.0487914460672703,0.151473720407622,7.81248364216501e-12,2.03958668509149e-11,1.07167128150412e-11,7.81248364216501e-12,2.03958668509149e-11,1.07167128150412e-11,7.81248364216501e-12
246,M,193.318561403691,200.492688367867,0,0,0,0,0,0,0
246,Y,0.154940532672353,0.496477208372357,0,0,0,0,0,0,0
246,Z,0.0485221510818599,0.151423950185311,7.03123527794851e-12,1.83562801658234e-11,9.64504153353705e-12,7.03123527794851e-12,1.83562801658234e-11,9.64504153353705e-12,7.03123527794851e-12
247,M,197.386705263322,195.74341953108,0,0,0,0,0,0,0
247,Y,0.155552289294169,0.495058020986641,0,0,0,0,0,0,0
247,Z,0.0484885555210492,0.151205912303485,6.32811175015365e-12,1.65206521492411e-11,8.68053738018334e-12,6.32811175015365e-12,1.65206521492411e-11,8.68053738018334e-12,6.32811175015365e-12
248,M,199.24803473699,199.569077577972,0,0,0,0,0,0,0
248,Y,0.156254873792876,0.494926316499079,0,0,0,0,0,0,0
248,Z,0.0484055436607964,0.151048233633582,5.69530057513829e-12,1.4868586934317e-11,7.81248364216501e-12,5.69530057513829e-12,1.4868586934317e-11,7.81248364216501e-12,5.69530057513829e-12
249,M,200.023231263291,199.412169820175,0,0,0,0,0,0,0
249,Y,0.156950445639156,0.494869998443145,0,0,0,0,0,0,0
249,Z,0.0483976281558674,0.151359602667563,5.12577051762446e-12,1.33817282408853e-11,7.03123527794851e-12,5.12577051762446e-12,1.33817282408853e-11,7.03123527794851e-12,5.12577051762446e-12
250,M,209.720908136962,201.970952838157,0,0,0,0,0,0,0
250,Y,0.158402757507725,0.495150602717038,0,0,0,0,0,0,0
250,Z,0.048396313195975,0.152079848822577,4.61319346586201e-12,1.20435554167967e-11,6.32811175015365e-12,4.61319346586201e-12,1.20435554167967e-11,6.32811175015365e-12,4.61319346586201e-12
251,M,202.248817323266,204.273857554342,0,0,0,0,0,0,0
251,Y,0.159165395158109,0.49597117171186,0,0,0,0,0,0,0
251,Z,0.0484203831478285,0.15284877144498,4.15187411927581e-12,1.08391998751171e-11,5.69530057513829e-12,4.15187411927581e-12,1.08391998751171e-11,5.69530057513829e-12,4.15187411927581e-12
252,M,198.223935590939,200.946471798907,0,0,0,0,0,0,0
252,Y,0.15948833044646,0.495787567943183,0,0,0,0,0,0,0
